29055|Communications||Commercial|SES S.A.|4332|Atlas 5|32 Ku-band transponders; direct-to-home broadcast services across Europe.
31306|Communications||Commercial|SES S.A.|4500|Ariane 5 ECA|29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.
33436|Communications||Commercial|SES S.A.|5345|Proton M|Direct-to-home and HD television.
37775|Communications||Commercial|SES S.A.|5350|Ariane 5 ECA|Direct-to-home and HD television.
25462|Communications||Commercial|SES S.A.|3635|Proton K|Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.
26853|Communications||Commercial|SES S.A.|3643|Proton K|Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe
26638|Communications||Commercial|SES S.A.|1420|Ariane 5G|Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.
39285|Communications||Commercial|SES S.A.|6052|Proton M|Broadcast, Vsat and broadband services to Europe.
38778|Communications||Commercial|SES S.A.|6000|Ariane 5 ECA|Prime position for SES - BBC, ITV, Channel 5.
40364|Communications||Commercial|SES S.A.|6000|Proton M|62 Ku-band transponders as well as 4 Ka-band transponders
27400|Communications||Commercial|SES S.A.|1500|Ariane 44L|20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.
36581|Communications||Commercial|SES S.A.|5471|Ariane 5 ECA|60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.
39617|Communications||Commercial|SES S.A.|5724|Ariane 5 ECA|Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).
43127|Technology Development||Commercial|Astranis||PSLV|Pathfinder for Astranis' small GEO satellites.
47430|Communications||Commercial|Astrocast|4|Falcon 9/Sherpa FX|
47488|Communications||Commercial|Astrocast|4|Falcon 9/Sherpa FX|
47487|Communications||Commercial|Astrocast|4|Falcon 9/Sherpa FX|
47519|Communications||Commercial|Astrocast|4|Falcon 9/Sherpa FX|
47517|Communications||Commercial|Astrocast|4|Falcon 9/Sherpa FX|
48954|Communications||Commercial|Astrocast|4|Falcon 9|
48961|Communications||Commercial|Astrocast|4|Falcon 9|
48955|Communications||Commercial|Astrocast|4|Falcon 9|
48952|Communications||Commercial|Astrocast|4|Falcon 9|
48960|Communications||Commercial|Astrocast|4|Falcon 9|
40930|Space Science||Government|Telemetry Tracking and Command Network (ISTRAC) Centre|230|PSLV C-30|India's first space observatory.
44333|Communications||Commercial|DirecTV, Inc.|6350|Ariane 5|DirecTV was bought out by AT&T in 2015. They intend to eliminate the DirecTV brand in the near future.
46275|Communications||Commercial|PointView Tech|138|Vega|PointView's (subsidiary of Facebook) first satellite; will test technologies that could be used in a future constellation of small satellites to provide global broadband Internet services.
39509|Communications||Government/Military|Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI)|3080|Ariane 5 ECA|Carries 2 payloads, one each for France and Italy. Operates in the Ka and EHF bands.
41168|Technology Development||Commercial|Microspace Rapid Pvt Ltd.|6|PSLV-C29|Technology demonstrator nanosatellite for Earth remote sensing.
39079|Communications||Government|Azercosmos|3250|Ariane 5 ECA|First satellite for Azerbaijan. Operating from an orbital slot assigned to Malaysia.
43632|Communications||Government|Azercosmos|3500|Ariane 5 ECA|Host Direct-to-Home (DTH) platforms for Central and Eastern Europe as well as the Asia-Pacific region. Intelsat 38 will also provide connectivity for corporate networks and government applications in Africa.
29526|Communications||Government|Arab Satellite Communications Org. (ASCO)|3304|Proton M|28 Ku-band transponders; voice and video communications to West Asia region.
36592|Communications||Government|Arab Satellite Communications Org. (ASCO)|5420|Proton|Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders.
36745|Communications||Government|Arab Satellite Communications Org. (ASCO)|4940|Ariane 5 ECA|26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East.
33154|Communications||Government|Arab Satellite Communications Org. (ASCO)|3400|Ariane 5 ECA|24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa.
41029|Communications||Government|Arab Satellite Communications Org. (ASCO)|5500|Ariane 5|
43463|Communications||Government|Bangladesh Telecommunication Regulatory Commission (BTRC)|3500|Falcon 9|26 Ku-Band and 14 C-Band transponders. Major applications include DTH, very small aperture terminal (VSAT) communications, backhaul and trunking, network restoration, and disaster preparedness and relief.
49814|Unknown||Civil|Tianyi Research Institute|20|Ceres 1|
40420|Earth Observation|Electronic Intelligence|Military|Ministry of Defense|4000|Soyuz-2.1b|Electronic intelligence gathering (ELINT).
41394|Earth Observation|Electronic Intelligence|Military|Ministry of Defense|4000|Soyuz-2.1a|
52713|Earth Observation|Electronic Intelligence|Military|Ministry of Defense|3700|Soyuz-2.1a|
55978|Earth Observation|Electronic Intelligence|Military|Ministry of Defense|3700|Soyuz-2.1a|Electronic intelligence gathering (ELINT).
56171|Technology Demonstration||Military|Space Development Agency|300|Falcon 9|
56170|Technology Demonstration||Military|Space Development Agency|300|Falcon 9|
52175|Technology Demonstration||Government|Central European Institute of Technology|1|Falcon 9|
55098|Communications|Amateur Radio|Civil|Central European Institute of Technology|2|Falcon 9|Amateur Radio.
48083|Technology Demonstration||Civil|Technical University Berlin|1|Soyuz-2.1a|Built to demonstrate a newly developed communication and navigation system.
47957|Technology Demonstration||Civil|Technical University Berlin|1|Soyuz-2.1a|Built to demonstrate a newly developed communication and navigation system.
48084|Technology Demonstration||Civil|Technical University Berlin|1|Soyuz-2.1a|Built to demonstrate a newly developed communication and navigation system.
48085|Technology Demonstration||Civil|Technical University Berlin|1|Soyuz-2.1a|Built to demonstrate a newly developed communication and navigation system.
44412|Technology Development||Civil|Technical University Berlin|1|Soyuz-2.1b|Student built, will test an attitude control system.
38250|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|2200|Long March 3B|Part of Beidou constellation.
38251|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|2200|Long March 3B|Part of Beidou constellation.
38775|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|3800|Long March 3B|
38953|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|3800|Long March 3C|Part of Beidou constellation, now operational.
41434|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|4200|Long March 3A|
41586|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|3800|Long March 3C|
40549|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|4200|Long March 3C|Third stage of Beidou constellation.
40938|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|4200|Long March 3B|
40748|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
40749|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43001|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|Ultra-accurate rubidium atomic clocks on board
44542|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
44543|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43002|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|Ultra-accurate rubidium atomic clocks on board
43107|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43108|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43207|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43208|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43246|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43245|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43539|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3A|
43581|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43582|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43602|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43603|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43622|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43623|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43647|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43648|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43683|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43706|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
43707|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
44204|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
44231|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3C|
44337|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
44709|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|4200|Long March 3B|Part of Beidou constellation.
44793|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
44794|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
44864|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
44865|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|
45807|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|800|Long March 3B|Final satellite in place to complete constellation.
45344|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|2200|Long March 3B|
37210|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|6000|Long March 3C|Part of Beidou constellation.
38091|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|2300|Long March 3A|Part of Beidou constellation.
36828|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|4200|Long March 3A|Part of Beidou constellation.
37256|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|4200|Long March 3A|Part of Beidou constellation.
37384|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|4200|Long March 3A|Part of Beidou constellation.
37763|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|4200|Long March 3A|Part of Beidou constellation.
37948|Navigation/Global Positioning||Military/Government|Chinese Ministry of National Defense|4200|Long March 3A|Part of Beidou constellation.
48840|Earth Observation|Optical Imaging|Commercial|21st Century Aerospace Technology (21AT)||Long March 2D|First of this company's satellites to be built in China.
28890|Earth Observation|Optical Imaging|Commercial|Beijing Landview Mapping Information Technology Co. Ltd (BLMIT)|166|Kosmos 3M|Earth observation for Disaster Monitoring Constellation (DMC); also research.
55257|Earth Observation|Radar Imaging|Commercial|Changsha Tianyi space science and Technology Research Institute Co., Ltd. (Spacety)|50|Long March 2D|https://equalocean.com/briefing/20211101230091594
41238|Communications||Government|Belintersat|5223|Long March 3B|Belarus' first communications satellite - 10 transponders reserved, 2 for Belarus' government, and 8 for Chinese companies. Will market remaining capacity in Africa, Asia, Europe.
26959|Earth Observation/Technology Development|Optical Imaging|Government/Civil|Institute of Space Sensor Technology and Planetary Exploration|92|PSLV C3|Forest fire recognition by small satellites.
55015|Earth Observation|Radar Surveillance|Military|Norwegian Defence Research Establishment (FFI)/|10|Falcon 9|Joint venture between Norway and the Netherlands. Detection of radar.
41604|Earth Observation|Optical Imaging|Government|German Aerospace Center (DLR)|130|PSLV XL|Forest Fire recognition. Carries BeeSat 4 to be ejected later.
40968|Earth Observation/Technology Development|Optical Imaging|Civil|Salish Kootenai College|1|Atlas 5|Mainly a training exercise for students with earth observation and cloud measurement capability.
38708|Earth Observation|Optical Imaging|Government|National Academy of Sciences|400|Soyuz-Fregat|Analog of Canopus-B. Supplies information to various government agencies.
43730|Earth Observation|Optical Imaging|Commercial|BlackSky Global|56|PSLV|Follow-up to pathfinder.
49469|Earth Observation|Optical Imaging|Commercial|BlackSky Global|55|Electron|
49470|Earth Observation|Optical Imaging|Commercial|BlackSky Global|55|Electron|
49950|Earth Observation|Optical Imaging|Commercial|BlackSky Global|55|Electron|
49949|Earth Observation|Optical Imaging|Commercial|BlackSky Global|55|Electron|
52196|Earth Observation|Optical Imaging|Commercial|BlackSky Global|55|Electron|
55982|Earth Observation|Optical Imaging|Commercial|BlackSky Global|55|Electron|
43812|Earth Observation|Optical Imaging|Commercial|BlackSky Global|55|Falcon 9|Follow-up to pathfinder.
52197|Earth Observation|Optical Imaging|Commercial|BlackSky Global|55|Electron|
